Song,Artist/Album
Here With Me,Marshmello - Here With Me
Don't Wanna Know,Kendrick Lamar - Don't Wanna Know
All We Know,Phoebe Ryan - All We Know
I'll Wait,Sasha Sloan - I'll Wait
Shameless,Camila Cabello - Shameless
Cheap Thrills,Sean Paul - Cheap Thrills
"Alone, Pt. II","Ava Max - Alone, Pt. II"
Talk,Disclosure - Talk
Cold,Future - Cold
Memories,Maroon 5  - Memories
Show Me the Meaning of Being Lonely,Backstreet Boys - Original Album Classics
Hold My Hand,Michael Jackson  - Michael
Hey Brother,Avicii  - True
Stop And Stare,OneRepublic  - Dreaming Out Loud
Wake Me Up,Aloe Blacc - True
Promises,Calvin Harris - Promises
Someone You Loved,Lewis Capaldi - BREACH
Inside Out,The Chainsmokers - Inside Out
"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward)-from Deadpool 2",Lil Pump - Deadpool 2 (Original Motion Picture Soundtrack)
bad guy,"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Ashes-from Deadpool 2,CÃ©line Dion - Deadpool 2 (Original Motion Picture Soundtrack)
Fire Burning,Sean Kingston - Fire Burning
Burn,Ellie Goulding - Burn
This Feeling,The Chainsmokers - Sick Boy...Siren
Counting Stars,OneRepublic  - Native
Someone To Stay,Vancouver Sleep Clinic - Someone To Stay
This Is What You Came For,Calvin Harris - This Is What You Came For
everything i wanted,Billie Eilish - everything i wanted
I Took A Pill In Ibiza-SeeB Remix,Mike Posner  - I Took A Pill In Ibiza-SeeB Remix
Taki Taki,Selena Gomez  - Taki Taki
Lose You To Love Me,Selena Gomez  - Lose You To Love Me
Bad Liar,Imagine Dragons - Bad Liar
It Ain't Me,Selena Gomez  - It Ain't Me
Sing Me to Sleep,Iselin Solheim - Sing Me to Sleep
There's Nothing Holdin' Me Back,Shawn Mendes - Illuminate
My Way,Calvin Harris - My Way
Silence,Marshmello - Silence
I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)
Back To You,Selena Gomez  - 13 Reasons Why-Season 2
Don't Call Me Up,Mabel - Ivy To Roses-Mixtape
Never Be the Same,Camila Cabello - Camila
On The Floor,Pitbull  - LOVE?
Love Me Like You Do,Ellie Goulding - Fifty Shades Freed-Original Motion Picture Soundtrack
Takeaway,Illenium - World Wide Joy...Takeaway
"thank u, next","Ariana Grande - thank u, next"
Let Her Go,Passenger  - All The Little Lights
Beautiful,Akon - Freedom
Hope,The Chainsmokers - Sick Boy
Girls Like You,Cardi B - Girls Like You
Move Your Body,SIA - This Is Acting
Sunflower-Spider-Man: Into the Spider-Verse,Post Malone - Sunflower-Spider-Man: Into the Spider-Verse
End Game,Ed Sheeran  - reputation
Bum Bum Tam Tam,Future - Bum Bum Tam Tam
Look What You Made Me Do,Taylor Swift - Look What You Made Me Do
Faded,Alan Walker  - Faded
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco)
Whatever It Takes,Imagine Dragons - Evolve
Thunder,Imagine Dragons - Evolve
Despacito-Remix,Daddy Yankee - Despacito-Remix
The Greatest,SIA - This Is Acting (Deluxe Version)
Turn Down for What,DJ Snake - Turn Down for What
"Me, Myself & I",Bebe Rexha - When It's Dark Out
Never Give Up,"Greg Kurstin - Never Give Up (From ""Lion"" Soundtrack)"
Moves Like Jagger,Christina Aguilera - Overexposed
The Monster,Rihanna  -  The Marshall Mathers LP 2
Thunderclouds,Labrinth - Thunderclouds
Stranger Things-Alan Walker Remix,OneRepublic  - Kids in Love
Work from Home,Fifth Harmony  - 7/27
Roar,Katy Perry - Roar
Let Me Love You,DJ Snake - Encore
Believer,Imagine Dragons - Evolve
Alone,Alan Walker  - Alone
TiK ToK,Kesha  - TiK ToK
Señorita,Shawn Mendes - Señorita
Alone,Marshmello - Alone
Havana,Young Thug - Camila
Stay,Zedd - Stay
Venom-Music From The Motion Picture,Eminem - Venom-Music From The Motion Picture
Titanium (feat. Sia),David Guetta - Happy New Year!
All The Stars,Kendrick Lamar - Black Panther The Album Music From And Inspired By
Better,Ananya Birla - Better
Stitches,Shawn Mendes - Handwritten
International Love,Pitbull  - Planet Pit
Dancin,Aaron Smith - Dancin
On My Way,Farruko - On My Way
One Kiss,Calvin Harris - One Kiss
Hips Don't Lie,Wyclef Jean - Oral Fixation Vol. 2
Fire On Fire,Sam Smith - Fire On Fire
The Middle,Zedd - The Middle
Pray For Me,The Weeknd - Black Panther The Album Music From And Inspired By
Mi Gente,J Balvin - Mi Gente
I'm an Albatraoz,AronChupa - I'm an Albatraoz
Animals,Maroon 5  - Animals
Sugar & Brownies,DHARIA - Sugar & Brownies
lovely,Billie Eilish - lovely
Wavin'  Flag,K Naan - Troubadour
rockstar,Post Malone - rockstar
7 rings,Ariana Grande - 7 rings
The Night We Met,Phoebe Bridgers - 13 Reasons Why-Season 2
In The Name Of Love,Bebe Rexha - In The Name Of Love
All of Me,John Legend - Love In The Future
Blinding Lights,The Weeknd - Blinding Lights
Uptown Funk,Bruno Mars  - Uptown Funk
Closer,Halsey - Closer
Radioactive,Imagine Dragons - Night Visions
The Nights,Avicii  - The Days / Nights
Wolves,Selena Gomez  - Wolves
I Want It That Way,Backstreet Boys - 2000 Grammy Nominees--Pop
